N,BRAM_18K,DSP,FF,LUT,URAM,avg_total_cycles,estimated_clock_period
7,0,1,48,169,0,5,2.412
5,0,1,48,117,0,5,2.454
4,0,1,48,115,0,5,2.454
8,0,1,48,235,0,5,2.468
2,0,1,48,111,0,5,2.454
3,0,1,48,115,0,5,2.454
1,0,1,46,91,0,5,2.454
6,0,1,48,135,0,5,2.356
