N,BRAM_18K,DSP,FF,LUT,URAM,avg_total_cycles,estimated_clock_period
2,0,11,933,1953,0,27,7.096
1,0,3,477,1667,0,4,7.088
4,0,11,935,1906,0,53,7.096
6,0,11,997,1949,0,79,7.096
5,0,11,997,1949,0,66,7.096
3,0,11,934,1891,0,40,7.096
