grau,newton,BRAM_18K,DSP,FF,LUT,URAM,avg_total_cycles,estimated_clock_period
3,1,0,3,489,484,0,44,2.936
3,3,0,3,489,484,0,44,2.936
2,3,0,4,503,595,0,36,3.183
3,2,0,3,489,484,0,44,2.936
1,1,0,0,339,362,0,28,2.01
2,1,0,4,503,595,0,36,3.183
1,3,0,0,339,362,0,28,2.01
1,2,0,0,339,362,0,28,2.01
2,2,0,4,503,595,0,36,3.183
