ch_in,ch_out,dim,kernel,padding,quant,stride,BRAM_18K,DSP,FF,LUT,URAM,avg_total_cycles,estimated_clock_period
6,6,17,5,4,12,1,5,2,453,1154,0,998216,3.944
11,9,18,3,2,12,3,9,1,459,1225,0,140770,4.258
8,12,16,3,0,4,5,2,0,293,790,0,29598,2.668
13,10,17,4,2,9,5,12,1,462,1185,0,103158,3.511
10,15,12,5,3,6,4,4,0,366,1079,0,156377,3.425
14,9,25,2,1,8,5,5,0,438,1257,0,93871,4.188
3,4,14,2,1,2,1,0,0,256,819,0,41911,2.035
6,7,44,3,2,14,2,9,2,571,1215,0,624368,4.018
6,11,14,5,3,4,4,2,0,338,1035,0,71245,3.394
7,3,37,3,1,14,1,9,6,991,1235,0,1047759,4.098
16,2,14,3,0,9,3,5,0,329,1001,0,23974,3.493
3,6,20,5,3,8,4,2,3,655,1150,0,55625,4.099
12,14,35,4,1,11,4,12,1,485,1253,0,622136,4.198
8,4,12,5,0,14,3,3,1,346,980,0,21922,3.973
8,15,32,4,2,10,5,10,0,408,1123,0,276839,3.763
2,6,41,2,1,5,5,2,0,383,1081,0,25558,3.951
1,8,35,4,3,4,5,1,0,290,830,0,25982,2.668
1,6,43,2,1,4,5,1,0,286,804,0,12876,2.668
9,14,25,3,2,14,1,10,2,500,1271,0,2430278,4.018
9,8,35,4,2,6,2,5,0,459,1275,0,1022723,4.188
5,9,22,5,4,13,2,10,1,438,1157,0,484840,3.99
9,14,10,2,0,14,2,2,1,376,960,0,48161,3.947
13,6,14,3,0,13,4,5,1,380,975,0,27009,3.972
9,10,39,2,0,11,1,9,1,460,1177,0,1891961,4.188
14,1,47,3,1,5,5,4,0,424,1237,0,135504,4.458
12,2,11,4,2,7,3,3,0,350,1080,0,22658,3.425
7,16,10,4,0,16,2,3,1,381,974,0,78425,4.023
4,3,34,3,0,9,3,8,0,500,1118,0,53116,3.511
6,5,42,3,2,15,3,9,2,492,1239,0,213959,4.046
7,5,31,3,1,8,1,5,0,403,1061,0,906672,3.589
7,4,15,5,0,7,2,2,0,332,980,0,68113,3.349
4,16,24,3,2,14,5,5,1,398,1099,0,69582,4.0
7,2,27,5,2,9,4,9,1,505,1144,0,61312,3.511
4,8,32,4,2,2,5,1,0,340,996,0,80854,3.427
15,15,17,4,1,12,1,12,3,726,1166,0,3134867,4.178
7,1,8,4,3,6,1,1,0,315,920,0,38535,3.349
16,9,25,4,3,11,1,12,1,446,1146,0,4793989,3.935
16,8,40,3,0,8,4,5,0,380,1046,0,414634,3.589
8,7,40,3,0,16,2,9,2,559,1120,0,571382,4.068
7,12,24,4,3,3,1,3,0,378,1103,0,2605445,3.463
2,9,24,3,2,6,2,1,0,352,1081,0,86539,3.349
7,13,33,3,0,8,3,5,0,394,1060,0,313804,3.589
11,13,9,4,3,4,2,2,0,380,1062,0,222332,3.403
9,13,16,2,0,12,5,5,1,338,798,0,22754,3.944
2,16,39,5,0,15,5,5,1,416,1055,0,108580,4.028
13,15,16,4,1,4,1,3,0,507,1090,0,1862022,3.453
12,13,19,3,2,14,4,10,2,468,1190,0,164309,4.018
6,12,13,5,0,14,5,3,1,391,1045,0,21488,3.973
5,15,27,4,2,13,3,10,1,438,1142,0,331192,3.99
12,2,15,2,0,9,5,4,0,342,998,0,12114,3.493
13,5,31,4,1,6,4,5,0,408,1015,0,216732,3.493
7,10,36,4,2,14,5,10,1,423,1091,0,220341,4.018
2,14,18,3,2,8,1,1,0,371,1101,0,305478,3.832
7,2,8,4,3,2,1,1,0,310,982,0,74377,3.349
16,7,43,4,3,7,2,5,2,742,1376,0,2600362,3.392
3,14,24,2,0,8,4,1,0,328,971,0,27941,3.514
12,13,38,5,4,3,2,3,1,483,1313,0,4341713,3.392
9,1,23,4,3,9,1,9,1,421,1118,0,276032,3.511
16,11,32,5,2,9,2,16,0,431,1140,0,2855795,3.523
5,1,18,3,1,12,3,2,1,339,934,0,10501,3.917
10,4,31,2,0,14,5,9,1,386,995,0,50916,4.018
6,12,33,2,1,14,4,9,1,447,1108,0,105308,4.258
14,5,19,4,0,3,3,3,1,387,1048,0,123609,3.392
7,8,14,3,0,12,1,3,1,365,991,0,216813,3.917
10,3,47,2,0,13,1,8,2,584,1180,0,970764,4.198
12,5,42,5,2,7,2,5,1,490,1317,0,1717241,3.392
5,16,21,4,0,14,5,6,1,414,1037,0,61605,4.0
7,13,26,5,0,13,5,12,3,697,1157,0,191669,4.258
11,4,16,2,0,10,1,5,0,326,859,0,149891,3.745
13,13,32,3,1,4,4,3,0,389,972,0,326978,3.493
7,15,26,2,1,2,2,1,1,502,1087,0,310938,3.426
11,7,16,5,0,11,1,6,1,478,926,0,699024,3.917
5,5,19,4,3,5,4,3,1,401,1091,0,56352,4.099
6,5,17,5,0,10,2,3,0,367,988,0,97447,3.718
15,2,27,2,1,13,3,8,4,836,1252,0,98306,4.188
12,2,49,4,1,8,2,5,0,460,1315,0,674900,4.448
10,16,19,5,2,2,1,2,0,428,1263,0,3606940,4.221
2,16,21,5,2,9,2,3,0,410,1157,0,247592,3.875
4,10,28,4,0,4,5,2,0,326,950,0,52612,3.404
13,4,10,3,1,11,3,3,1,365,1049,0,27041,3.89
4,3,31,3,0,14,5,4,1,373,986,0,23656,4.0
12,7,37,4,3,13,1,10,2,507,1269,0,5726847,3.99
4,15,41,5,1,2,2,2,1,546,1198,0,1522863,3.392
16,4,36,5,1,5,2,5,1,572,1253,0,1218634,3.392
14,11,43,4,1,14,3,12,1,505,1332,0,1355641,4.448
6,4,9,2,0,7,1,1,0,311,882,0,23836,3.308
4,16,46,4,1,4,3,3,0,380,1101,0,639630,3.483
5,3,10,2,0,6,1,1,0,302,889,0,19323,3.308
12,12,17,4,3,12,5,12,2,456,1138,0,112670,3.962
11,2,26,3,0,12,5,9,1,400,1117,0,38197,4.178
11,16,35,4,3,8,2,6,0,506,1355,0,2728319,4.198
7,5,41,2,1,15,1,9,4,880,1263,0,1291713,4.188
9,9,11,2,1,5,1,2,0,386,1126,0,170408,3.884
3,9,21,5,4,6,4,3,4,793,1191,0,108923,4.099
16,15,48,4,2,8,4,6,2,725,1353,0,1832595,3.589
13,13,45,2,0,4,1,3,0,453,1233,0,4714036,4.448
3,6,8,4,3,7,2,2,0,324,989,0,28895,3.327
15,4,8,5,0,13,5,3,1,269,676,0,7255,3.945
3,7,29,2,1,8,2,2,1,525,1104,0,78185,3.571
12,11,27,4,3,14,3,12,1,459,1138,0,589291,4.018
9,8,34,4,3,4,3,3,0,395,1137,0,550921,3.493
10,2,31,5,3,3,3,2,0,413,1245,0,185244,4.188
14,9,44,3,1,10,3,10,0,493,1418,0,828487,4.448
11,16,23,2,0,9,4,9,1,443,1060,0,146869,4.258
5,1,37,3,0,8,4,4,0,358,978,0,32187,4.258
10,14,45,4,0,14,1,12,1,487,1212,0,10485962,4.198
11,3,38,3,2,2,1,1,0,554,1329,0,1436075,4.161
10,6,46,3,0,8,2,5,0,443,1208,0,826942,4.198
12,15,14,4,0,8,5,4,0,356,1000,0,76379,3.571
2,12,32,5,1,14,2,5,1,397,983,0,347344,4.0
2,7,38,3,2,10,4,4,0,412,1186,0,47677,3.951
15,15,38,5,3,4,3,4,3,853,1342,0,3479282,4.448
9,2,15,4,1,6,1,3,0,359,975,0,156429,3.425
14,16,47,3,1,2,1,2,0,473,1381,0,13036340,4.421
4,2,27,2,0,10,3,4,1,501,1104,0,19062,3.745
2,8,17,5,2,10,4,2,0,375,1086,0,27544,3.838
2,1,10,3,1,5,5,1,0,254,827,0,1028,3.308
10,6,17,3,2,14,1,9,1,462,1210,0,578930,4.258
14,8,33,4,1,12,2,10,1,475,1167,0,1258680,4.198
2,4,31,3,2,16,2,4,1,426,1151,0,69204,4.05
14,12,37,4,0,4,2,3,1,439,1091,0,2108250,3.392
2,14,47,3,0,12,3,9,1,406,1055,0,184294,3.979
10,3,30,5,0,15,5,9,1,388,1002,0,95750,4.046
1,8,34,3,0,16,2,2,1,319,809,0,57168,4.023
8,4,25,5,3,9,2,9,0,401,1155,0,409410,3.511
11,11,46,3,2,2,1,2,1,468,1279,0,7378560,3.392
7,2,41,3,1,2,3,1,3,782,1233,0,135722,4.151
8,3,47,4,1,4,1,2,2,698,1292,0,2204002,3.392
13,12,15,5,3,13,3,12,2,485,1223,0,362888,3.99
15,9,42,3,1,3,2,3,3,851,1303,0,2179205,4.448
10,14,46,5,2,2,3,2,0,444,1279,0,2299510,4.161
2,15,26,5,3,14,5,3,1,356,888,0,73321,3.973
6,1,15,2,1,9,2,2,0,334,891,0,10460,3.466
14,1,11,3,1,14,1,4,1,409,1110,0,50960,4.23
3,8,9,4,1,8,4,2,0,593,1170,0,5165,3.823
14,5,16,2,0,13,5,5,1,335,791,0,20871,3.972
13,13,9,4,1,13,1,6,1,445,1129,0,460566,4.193
9,2,18,4,3,16,1,9,1,396,1119,0,347265,4.068
9,5,29,3,2,14,5,9,1,444,1122,0,84286,4.018
1,14,32,3,2,10,3,2,0,305,921,0,56312,3.718
7,7,37,4,3,3,3,3,3,813,1254,0,555907,4.188
9,6,29,4,1,5,5,5,0,397,1102,0,107345,3.493
12,7,27,4,2,4,5,3,0,391,1132,0,158447,3.493
8,10,12,5,0,9,2,4,0,352,998,0,83752,3.466
11,16,34,2,1,11,1,9,1,467,1154,0,3100427,3.935
9,2,22,4,3,2,2,1,0,360,1081,0,145445,3.426
8,6,21,3,2,10,1,9,1,579,1314,0,680452,3.763
15,6,40,3,2,15,4,9,3,749,1290,0,464819,4.448
6,10,44,4,1,2,2,1,1,450,1220,0,1267962,3.392
6,2,40,5,3,14,5,9,2,443,1187,0,94680,4.018
10,16,39,4,2,15,5,12,1,500,1277,0,483444,4.198
7,15,35,4,2,13,2,10,5,888,1222,0,1878068,4.098
9,10,26,2,1,3,4,2,0,363,1063,0,83367,3.463
6,8,9,5,1,9,2,3,0,392,1108,0,49984,3.878
13,9,37,2,1,3,3,2,0,451,1284,0,338016,4.198
9,12,15,2,1,14,1,5,1,416,985,0,401045,4.0
8,10,47,5,0,10,1,10,1,595,1265,0,9264960,3.763
5,1,14,5,2,5,4,1,0,306,898,0,9007,3.349
8,4,34,4,2,15,2,9,2,586,1186,0,470642,4.046
13,10,8,5,4,4,1,2,0,318,871,0,1169655,2.703
11,3,14,3,0,2,5,1,0,440,1028,0,15073,3.403
2,2,23,5,0,9,3,2,0,348,1027,0,15792,3.875
5,13,28,3,1,9,2,9,0,402,1125,0,349826,3.511
13,15,12,5,0,9,2,10,0,499,1103,0,200522,3.511
7,5,49,5,0,5,3,5,2,681,1175,0,661978,4.198
14,16,33,5,1,3,5,4,0,438,1227,0,732432,4.198
5,11,16,2,1,8,2,1,0,372,1004,0,69010,3.514
10,12,17,2,0,3,4,1,0,334,887,0,36948,3.403
5,4,10,5,1,3,3,1,0,306,1040,0,13281,3.327
13,16,34,3,0,8,1,5,0,417,1015,0,5618967,3.589
6,12,28,4,2,14,1,10,1,379,924,0,2580584,4.018
9,9,19,4,2,15,5,10,1,460,1199,0,67070,4.258
9,12,32,3,1,12,4,9,1,415,981,0,211835,3.962
7,5,47,3,1,10,3,9,3,854,1301,0,366765,4.198
12,10,10,2,1,4,1,1,0,352,1081,0,210788,3.348
12,7,33,4,2,9,2,10,0,465,1242,0,1068623,4.198
10,1,11,5,2,9,5,5,0,340,1019,0,10976,3.493
14,1,34,2,0,5,5,4,0,331,851,0,60692,3.493
9,3,23,2,0,15,2,8,1,556,1164,0,61883,4.258
9,12,32,4,0,4,5,3,0,319,826,0,193457,2.743
7,4,16,5,4,12,5,5,1,353,1031,0,36311,3.944
4,3,25,5,1,5,3,3,1,506,1136,0,56832,3.392
14,8,34,2,1,4,3,2,0,392,1117,0,281332,3.503
5,14,29,4,3,15,5,10,1,471,1228,0,161037,4.258
12,10,47,3,2,6,5,5,0,463,1385,0,401460,4.448
9,9,40,5,4,16,3,10,1,450,1235,0,1185878,4.068
8,14,29,4,0,10,4,10,1,542,1132,0,254172,3.763
7,6,43,5,3,4,5,3,3,825,1273,0,308302,4.198
9,3,38,2,0,12,3,8,1,565,1233,0,105707,4.188
16,16,13,4,0,6,4,4,1,502,1082,0,106402,4.596
7,7,11,2,0,4,1,1,0,590,1196,0,73110,3.872
3,11,30,2,1,13,4,5,1,325,773,0,40136,3.972
11,3,34,3,1,7,5,5,0,513,1169,0,84043,3.493
13,9,39,3,1,13,3,10,2,520,1295,0,583053,3.99
2,11,50,2,0,10,1,8,0,424,1148,0,808949,3.979
12,5,45,3,1,13,4,9,1,475,1285,0,304133,4.448
3,9,46,3,1,5,5,4,1,504,1171,0,92948,3.463
2,5,32,2,1,6,5,2,0,337,944,0,14183,3.426
8,12,12,3,1,8,5,2,0,354,1053,0,27214,3.514
3,16,49,3,0,16,1,9,4,734,1210,0,3806597,4.098
2,2,33,2,0,15,3,4,1,364,926,0,14180,4.028
3,4,22,4,2,7,2,1,4,781,1214,0,100309,4.099
11,3,25,4,2,15,2,9,1,718,1393,0,259875,4.188
5,9,49,4,3,15,1,9,2,513,1253,0,5201487,4.046
4,2,12,2,1,8,2,1,0,328,992,0,7932,3.512
12,3,20,4,3,15,1,9,2,575,1246,0,822539,4.178
4,6,13,5,3,4,5,2,1,491,1131,0,16924,3.392
2,9,46,4,0,2,5,1,0,350,1013,0,76047,3.942
11,2,10,4,0,10,4,3,0,321,961,0,7609,3.718
12,12,25,4,0,11,5,12,1,431,1136,0,175994,4.178
16,8,27,3,1,12,5,10,2,597,1271,0,160986,3.962
2,3,30,3,0,4,1,1,0,302,898,0,132890,3.349
13,1,21,5,1,8,4,5,0,390,1140,0,40037,4.178
15,4,50,4,3,11,3,9,2,571,1190,0,947581,3.935
13,2,12,2,0,12,4,2,1,342,942,0,9765,3.917
8,12,45,3,1,9,4,9,1,587,1277,0,416278,3.511
11,9,50,4,0,7,4,5,1,454,1139,0,688522,3.392
6,13,34,2,0,14,4,9,1,397,923,0,112679,4.018
10,2,48,5,1,14,2,9,2,476,1180,0,890444,4.198
4,4,22,5,1,6,3,3,0,347,1075,0,55718,3.426
14,2,50,5,0,14,3,9,1,438,1188,0,554052,4.458
5,7,27,2,1,10,4,9,1,430,1136,0,37467,3.763
15,12,23,4,0,5,5,6,2,655,1113,0,182648,4.178
15,16,30,3,2,8,3,6,0,434,1188,0,806129,3.589
1,15,18,4,0,8,1,1,0,270,778,0,143309,3.512
6,8,19,2,0,12,1,5,1,407,1039,0,230312,3.951
12,4,44,3,2,13,2,9,1,437,1219,0,741550,3.99
16,1,20,3,1,9,5,9,1,502,1134,0,30042,3.511
10,4,13,4,2,3,3,2,0,357,1045,0,49320,3.403
14,13,12,2,1,5,4,3,0,347,984,0,49071,3.425
2,6,50,2,0,13,2,8,1,427,1041,0,128326,3.99
12,10,17,4,3,9,2,10,1,452,1186,0,521616,3.511
4,15,39,3,0,15,3,9,3,708,1203,0,288659,4.046
12,6,34,3,1,5,5,5,0,387,1103,0,137864,3.493
7,10,38,2,0,12,3,9,4,725,1136,0,273543,4.098
8,11,30,5,3,11,5,12,1,422,1133,0,294747,3.935
9,4,17,2,0,6,4,2,0,335,885,0,16829,3.425
7,1,9,5,3,14,5,3,1,333,918,0,7103,3.973
8,16,43,3,0,14,5,10,2,591,1185,0,319650,4.018
12,14,42,2,0,15,2,9,2,506,1134,0,1560800,4.198
12,15,45,5,2,3,5,4,0,460,1376,0,986999,4.448
14,7,12,4,3,15,3,10,1,414,1100,0,113045,4.046
5,16,18,5,1,16,5,4,1,408,1086,0,85785,4.023
7,10,22,3,2,13,1,9,4,842,1264,0,1436077,4.258
11,11,11,4,1,2,2,2,0,394,1135,0,132970,4.163
15,10,42,5,3,8,2,6,1,585,1277,0,4604187,3.589
11,15,17,5,0,15,4,12,1,544,1031,0,174832,4.046
15,4,34,2,0,16,5,9,1,405,1005,0,96233,4.068
13,13,45,3,2,15,1,10,1,547,1444,0,9852026,4.448
14,13,25,5,3,4,5,4,0,405,1178,0,440355,3.493
10,4,38,3,1,7,5,5,0,384,1144,0,114016,3.493
7,2,12,3,2,10,2,2,0,296,909,0,22399,3.718
7,11,20,4,2,16,2,6,1,425,1147,0,404690,4.05
13,3,28,2,0,14,5,9,1,499,1045,0,52351,4.018
9,14,20,4,1,13,3,10,1,451,1173,0,273457,4.258
5,16,23,4,3,15,4,10,2,469,1147,0,177092,4.046
14,10,30,4,0,2,4,2,0,350,975,0,329214,3.456
5,16,15,4,1,13,3,4,1,396,999,0,89125,3.945
14,8,13,2,0,7,2,3,0,377,1074,0,65196,4.23
15,11,27,3,0,14,1,10,3,728,1214,0,3659800,4.188
14,8,18,2,0,13,4,9,1,385,957,0,54616,3.99
6,6,23,2,1,7,1,2,1,423,1163,0,308816,3.392
5,11,31,2,0,14,3,9,1,405,1006,0,94660,4.018
6,7,19,3,2,6,4,3,1,393,1105,0,48503,3.392
15,10,9,4,3,16,4,8,1,419,1113,0,63767,4.05
1,6,13,2,0,16,5,1,1,288,759,0,1384,3.997
6,6,48,2,1,11,5,9,2,454,1152,0,96782,3.935
8,12,8,5,1,15,5,5,1,381,999,0,26206,4.028
3,14,17,4,1,8,5,2,2,649,1126,0,40144,4.1
13,8,43,2,0,10,4,9,0,460,1234,0,253259,4.448
7,3,28,4,3,16,4,9,1,392,1015,0,77083,4.068
16,9,44,5,1,6,1,6,1,621,1380,0,15883209,3.392
6,7,16,2,1,10,4,3,0,360,961,0,20693,3.718
15,1,34,3,1,2,5,1,0,346,988,0,76029,3.486
16,9,34,4,1,9,2,12,0,443,1133,0,1814001,3.523
14,3,20,3,1,6,1,5,0,399,1172,0,458830,4.178
10,6,31,3,2,4,2,3,0,426,1212,0,487702,4.188
14,8,36,5,1,12,4,12,2,495,1228,0,624676,3.962
2,16,9,5,2,8,3,2,0,345,1046,0,19072,3.512
1,15,16,3,0,6,4,0,0,229,663,0,7255,2.611
15,14,27,2,1,10,5,9,3,846,1299,0,190280,4.188
7,5,14,3,0,6,3,2,0,324,965,0,19404,3.349
9,9,28,4,1,4,2,3,0,379,1057,0,694154,3.473
2,2,18,4,2,12,3,1,1,355,1016,0,10936,3.891
10,13,26,3,2,6,5,5,0,403,1187,0,146783,3.493
13,15,43,2,1,15,1,9,2,782,1432,0,5424018,4.448
16,1,27,5,0,12,4,9,2,507,1021,0,74294,3.962
11,7,9,4,2,15,3,4,1,557,1217,0,56348,4.193
7,3,39,2,1,15,5,8,5,856,1175,0,63489,4.098
12,4,40,3,1,4,3,2,0,420,1263,0,308374,4.198
2,14,46,3,2,14,3,9,1,437,1141,0,207982,4.018
10,1,48,2,0,12,5,8,1,353,929,0,85772,3.962
1,7,44,4,0,4,4,1,0,410,870,0,41779,2.668
6,5,45,2,0,3,5,2,1,396,1042,0,73565,3.392
9,16,38,3,1,11,3,10,1,453,1224,0,680793,3.935
9,3,20,4,1,11,3,9,1,409,1113,0,68447,4.258
5,7,9,4,0,16,4,2,1,359,902,0,7442,3.997
13,7,26,5,3,2,1,2,0,463,1007,0,4467570,2.422
11,9,33,4,1,11,2,10,1,485,1174,0,1108720,4.188
2,8,25,2,1,6,2,1,0,380,1048,0,45020,3.845
11,1,28,2,1,4,4,2,0,330,900,0,38789,3.493
15,4,30,4,0,15,3,9,1,399,1004,0,247645,4.046
16,16,50,5,1,9,5,16,1,633,1404,0,1720674,3.511
9,11,18,2,0,2,3,1,0,336,985,0,60440,3.403
6,3,10,3,0,11,5,2,1,310,904,0,4034,3.864
11,13,11,2,1,15,5,3,1,454,1157,0,23596,4.193
5,9,42,2,0,13,5,9,1,438,1105,0,80204,4.268
2,11,27,2,1,8,3,1,0,383,1079,0,38141,3.845
3,7,45,5,1,6,1,5,5,964,1248,0,3037554,4.098
14,4,41,5,3,11,4,10,1,477,1359,0,502336,4.448
9,7,44,2,1,10,1,9,1,615,1331,0,1871951,4.198
15,16,38,3,2,5,5,6,3,847,1310,0,614519,4.448
11,1,12,3,2,4,5,1,0,254,748,0,9409,2.703
5,1,47,3,1,6,1,4,0,418,1109,0,326999,4.268
13,9,31,5,0,4,1,3,0,403,1071,0,5341336,3.493
3,12,23,5,3,8,2,3,4,822,1261,0,479447,4.099
6,14,17,2,0,8,4,2,0,338,879,0,25150,3.514
6,12,50,2,0,11,5,9,2,447,1090,0,150896,3.935
15,9,29,4,1,7,5,6,1,552,1156,0,248165,3.493
4,9,47,4,3,2,1,1,1,559,1275,0,3856497,3.392
14,8,28,5,1,5,3,6,0,400,1135,0,600568,3.493
9,9,46,4,0,6,5,5,0,419,1147,0,336440,4.198
8,6,23,5,3,15,4,10,2,589,1227,0,163492,4.046
10,6,10,5,1,16,2,4,1,395,1075,0,63810,4.023
4,12,10,5,3,15,5,3,1,341,862,0,29218,4.001
15,8,9,5,3,9,3,8,0,395,1141,0,126181,3.493
6,5,17,3,1,16,4,5,1,423,1110,0,26015,4.05
9,8,19,2,0,4,1,1,0,383,1093,0,342719,4.208
5,14,19,3,1,15,1,5,1,465,1209,0,674039,4.028
9,1,14,3,1,2,4,1,0,234,680,0,10329,2.381
12,13,24,3,1,9,5,10,0,438,1273,0,125705,4.178
9,3,30,4,2,5,5,5,0,371,1025,0,83999,3.493
5,2,34,3,0,6,1,4,0,342,925,0,288675,3.463
10,6,43,3,2,16,5,9,1,501,1346,0,188830,4.198
1,1,35,5,0,15,5,2,1,279,719,0,6904,4.001
15,3,48,3,0,5,4,5,0,342,997,0,276749,3.543
4,14,35,3,0,13,3,9,2,573,1173,0,195748,3.99
13,5,42,2,1,5,2,5,0,483,1322,0,519396,4.448
15,11,41,3,2,13,5,10,4,888,1347,0,555740,4.448
9,3,9,4,2,12,1,3,1,387,1073,0,117587,3.917
7,10,18,2,1,16,5,5,1,405,1058,0,24141,4.05
2,11,13,4,3,6,4,2,0,341,997,0,16829,3.832
15,16,27,5,3,3,2,4,1,544,1119,0,3397490,3.493
5,10,13,4,3,13,4,3,1,417,1115,0,37957,3.945
4,12,42,5,3,8,4,5,0,405,1202,0,387554,3.589
15,12,34,3,1,5,4,5,0,398,1089,0,438083,3.523
6,7,48,2,0,4,1,2,1,488,1048,0,1374416,3.493
4,9,49,5,0,8,5,5,1,545,1167,0,212833,3.589
10,14,29,4,0,2,5,2,0,385,1110,0,239610,4.151
9,11,20,3,0,2,4,1,0,325,987,0,76772,3.403
8,15,35,4,3,5,5,5,1,562,1244,0,360367,3.392
1,5,27,2,1,5,5,1,0,273,783,0,5037,2.816
15,3,16,3,0,10,5,5,0,304,842,0,23375,3.745
10,13,36,2,0,6,2,5,0,387,1024,0,639323,3.493
4,3,15,5,0,4,2,1,0,306,942,0,30056,3.327
13,1,31,3,1,5,2,4,0,365,935,0,128349,3.493
16,14,24,3,1,4,5,3,1,541,1214,0,179044,3.392
7,8,32,3,0,9,4,9,0,325,819,0,117007,3.511
10,7,11,5,1,14,4,4,1,435,1173,0,44001,4.194
2,9,13,2,0,13,4,1,1,351,899,0,3663,3.919
1,12,17,2,1,14,5,1,2,309,752,0,5004,3.947
15,7,33,3,0,14,2,9,1,425,971,0,754236,4.018
4,10,11,3,2,8,5,2,0,351,1062,0,11780,3.512
2,14,29,4,2,13,1,5,1,410,1021,0,1090346,3.972
10,7,33,2,0,3,4,2,0,351,911,0,98101,3.493
2,14,10,2,0,8,2,0,0,320,919,0,11390,2.967
10,16,42,2,1,2,3,1,0,443,1281,0,568560,4.161
1,9,31,3,1,4,5,1,0,262,773,0,14793,2.668
14,4,40,4,2,11,4,9,1,455,1278,0,360572,4.448
12,14,43,5,4,8,3,8,0,482,1392,0,2752648,4.448
6,4,24,5,4,10,4,9,0,313,913,0,87308,3.763
4,10,35,3,2,9,1,9,1,590,1327,0,1469024,3.511
6,5,36,4,1,11,1,9,1,457,1172,0,1581467,4.268
7,2,50,5,0,11,5,9,3,674,1152,0,163567,4.198
13,12,21,5,1,3,1,3,0,456,1286,0,3520575,4.178
10,6,32,5,2,16,3,10,1,454,1209,0,486914,4.068
10,11,50,4,2,6,5,5,1,483,1306,0,645389,3.392
11,6,15,5,2,4,4,2,0,397,1150,0,75643,4.208
6,5,21,3,0,7,5,3,0,364,1050,0,21283,3.951
7,10,9,3,1,13,1,2,1,660,1288,0,151611,3.919
15,14,41,5,2,4,2,4,3,869,1358,0,7229900,4.448
12,5,25,4,0,13,1,9,1,443,1141,0,1248793,4.178
9,14,49,4,0,5,2,5,0,441,1175,0,2882027,4.198
11,15,38,2,0,8,4,5,0,545,1191,0,284122,4.188
8,3,37,4,2,7,2,5,2,700,1303,0,404283,3.392
4,6,46,5,2,4,1,3,1,566,1272,0,3203080,3.392
5,16,45,3,1,5,5,5,0,439,1234,0,203875,4.268
11,8,48,4,2,16,5,10,1,512,1367,0,454623,4.448
16,14,13,4,1,7,3,4,0,388,1080,0,161324,3.425
16,8,18,4,2,10,1,10,1,589,1300,0,1967690,3.763
15,16,16,2,0,8,1,3,0,323,833,0,776495,3.571
11,5,26,2,1,12,5,9,1,427,1123,0,53182,3.962
7,11,40,4,1,6,5,5,3,708,1151,0,305664,4.098
15,11,23,3,0,8,3,5,2,675,1196,0,310852,4.178
8,15,49,3,1,15,4,10,3,751,1302,0,595267,4.046
15,2,11,5,2,5,5,3,1,474,1107,0,24849,3.425
16,3,24,2,1,12,3,9,2,553,1164,0,87540,3.962
12,15,47,5,2,13,4,16,1,500,1365,0,1698995,4.448
8,14,21,5,2,8,1,6,1,579,1311,0,3088900,3.589
6,11,46,3,1,6,5,5,0,394,1170,0,214705,3.493
6,5,37,4,3,8,3,5,1,460,1221,0,278609,3.589
1,1,35,2,0,9,2,2,0,256,744,0,7932,3.466
9,16,37,3,0,16,4,10,1,459,1172,0,344849,4.188
12,9,35,2,0,14,2,9,1,462,1118,0,488741,4.188
14,14,38,5,4,15,1,16,1,537,1445,0,21559834,4.448
5,16,9,4,2,6,3,2,0,384,1084,0,56405,3.872
7,3,29,5,3,4,5,3,3,788,1231,0,101697,4.268
15,16,27,5,0,12,1,16,3,734,1226,0,9829724,4.188
4,15,37,5,2,7,1,5,2,711,1316,0,5155540,3.392
16,16,19,2,1,6,2,5,1,565,1222,0,383250,3.392
1,4,49,2,0,10,2,4,0,308,843,0,39906,3.745
9,9,8,5,3,3,2,2,0,341,1027,0,129584,3.349
7,5,36,3,0,16,3,9,1,413,1042,0,161114,4.068
11,11,29,4,1,16,5,10,1,475,1193,0,214678,4.068
13,16,23,3,1,12,4,10,1,476,1239,0,219573,4.178
6,1,23,3,2,15,4,8,1,402,1064,0,19260,4.258
5,9,48,3,1,15,4,9,2,461,1121,0,266422,4.268
14,3,32,3,2,16,3,9,1,417,1148,0,207458,4.068
6,15,42,2,1,7,1,5,2,598,1233,0,2423372,3.392
12,9,24,2,1,6,5,5,0,409,1192,0,61853,4.178
6,11,48,3,1,6,5,5,1,437,1194,0,219097,3.392
10,7,31,5,4,2,2,2,0,424,1214,0,1447221,4.151
4,10,41,4,0,12,5,9,2,553,1083,0,130488,3.962
9,8,25,3,0,2,1,1,0,390,1151,0,1017173,4.221
2,8,29,2,1,7,1,1,0,364,1009,0,222100,3.349
1,7,28,3,1,15,4,1,1,294,754,0,11653,3.975
10,1,23,5,3,11,2,9,1,419,1147,0,125496,4.188
6,5,48,2,0,11,2,8,1,395,1026,0,290867,3.935
4,2,50,4,3,6,4,4,0,364,1101,0,100330,3.483
4,15,27,4,3,7,4,5,0,381,1027,0,174299,3.464
9,12,12,5,3,10,4,8,0,390,1132,0,113891,3.745
9,13,26,4,1,7,1,5,0,411,1158,0,3108666,3.463
11,2,27,2,0,9,4,8,0,394,1123,0,40897,4.178
11,4,24,3,2,2,1,1,0,378,1147,0,801751,3.456
1,1,46,4,2,13,2,4,1,301,782,0,31216,3.972
2,7,24,4,2,7,5,1,0,336,1050,0,19285,3.349
