ch_in,ch_out,dim,kernel,padding,quant,stride,BRAM_18K,DSP,FF,LUT,URAM,avg_total_cycles,estimated_clock_period
10,8,34,5,2,10,3,10,0,468,1329,0,756172,4.188
15,1,34,4,2,12,3,9,3,689,1149,0,177599,4.448
1,9,50,5,4,13,2,5,1,361,920,0,415935,3.972
14,3,47,3,0,16,1,9,2,595,1282,0,2320243,4.448
4,11,44,3,1,7,5,5,1,564,1249,0,120099,3.392
6,12,43,4,3,11,2,10,2,503,1256,0,1651874,3.935
2,12,44,5,1,5,4,5,0,405,1147,0,195688,3.979
5,14,39,4,2,6,4,5,0,436,1218,0,322629,4.268
8,2,15,5,2,16,1,5,2,550,1230,0,231830,4.05
12,12,8,2,1,11,3,3,1,371,1004,0,21794,3.89
10,1,47,4,1,15,4,9,1,432,1120,0,131424,4.198
11,6,38,2,0,8,5,5,0,428,1142,0,109795,4.188
12,4,16,4,0,7,2,3,0,302,810,0,109454,3.275
11,3,23,2,1,9,1,9,1,556,1244,0,290422,3.511
8,5,16,2,0,11,2,3,1,327,757,0,43385,3.89
7,9,48,3,1,2,1,1,2,676,1253,0,5175192,4.161
16,11,34,5,2,15,1,16,2,638,1308,0,12705367,4.046
5,15,31,2,0,14,4,9,1,392,929,0,84612,4.018
12,7,49,3,0,5,4,5,0,401,1150,0,406115,4.448
1,1,35,2,0,6,5,1,0,236,710,0,4552,3.158
6,4,22,2,1,8,1,2,0,386,1125,0,192152,3.571
10,1,46,3,0,6,3,4,0,384,1070,0,124792,4.198
3,4,50,2,0,16,2,8,4,716,1141,0,179369,4.098
13,12,15,4,0,3,5,2,0,354,961,0,69083,3.403
12,6,25,2,1,14,4,9,1,458,1187,0,75440,4.188
6,3,40,4,3,6,5,5,1,414,1154,0,95834,3.392
6,3,38,2,0,14,1,8,2,571,1145,0,380915,4.268
5,12,16,2,0,14,4,3,1,326,742,0,18213,3.973
4,9,21,5,2,15,2,5,2,590,1229,0,279285,4.028
6,2,18,5,0,13,2,3,1,340,912,0,43076,3.945
8,7,27,5,0,7,5,5,1,522,1133,0,106491,3.392
14,1,33,4,3,16,1,9,2,455,1131,0,820742,4.068
2,2,50,2,1,2,4,1,0,344,1000,0,26124,3.942
3,16,11,5,2,10,4,3,0,491,1188,0,28829,3.718
4,6,46,2,1,12,2,8,1,424,1113,0,227856,3.962
5,2,27,3,1,2,3,1,1,387,1105,0,34076,3.392
6,2,38,4,1,9,5,9,0,366,1102,0,60672,3.511
9,14,34,3,1,14,2,10,1,451,1100,0,989459,4.018
10,8,27,3,1,5,1,5,0,446,1283,0,1552872,4.188
14,6,9,5,4,9,4,8,0,389,1066,0,90910,3.493
4,10,17,4,3,10,4,5,1,535,1169,0,47760,3.745
4,10,31,5,0,7,5,3,0,359,1015,0,102316,3.426
6,9,47,3,2,12,5,9,2,482,1253,0,186941,3.962
12,11,18,3,0,6,4,3,0,345,959,0,68167,3.425
9,6,36,5,2,2,4,2,0,362,1085,0,311771,3.456
9,10,47,4,0,9,3,10,0,451,1207,0,917117,4.198
9,3,17,5,2,14,2,5,1,424,1124,0,146213,4.23
6,8,49,2,0,9,5,9,1,434,1123,0,114574,3.511
5,4,23,5,4,6,2,5,0,381,1111,0,255535,3.463
5,15,39,5,3,7,1,5,1,592,1316,0,7896617,4.268
15,13,21,2,1,3,2,3,3,815,1236,0,499193,4.178
4,15,15,4,3,3,1,2,1,500,1121,0,830987,3.392
5,16,45,3,1,5,1,5,0,455,1273,0,4310755,4.268
4,3,14,3,0,10,2,1,0,329,995,0,14136,3.692
8,11,14,5,1,15,3,6,1,352,861,0,93587,4.028
11,16,29,2,0,13,2,9,1,466,1136,0,519095,4.188
11,3,39,3,1,16,3,9,1,745,1480,0,200299,4.198
3,3,37,5,3,2,4,1,4,781,1168,0,85067,4.098
5,4,32,2,0,11,1,8,1,342,826,0,293201,3.935
11,6,17,4,0,3,2,2,0,360,918,0,147025,3.403
14,1,8,4,3,7,2,2,0,323,957,0,26644,3.425
16,15,45,4,2,13,4,12,2,634,1327,0,1565655,3.99
11,12,38,5,3,5,3,6,0,480,1341,0,1664527,4.198
5,13,46,2,1,11,2,9,1,419,1107,0,573676,3.935
9,6,30,5,0,12,2,10,1,414,1043,0,593693,3.962
2,10,36,2,1,16,4,4,1,428,1095,0,38682,4.05
6,4,19,2,0,8,3,2,0,373,1059,0,19532,3.951
4,9,36,3,0,4,3,2,0,350,1001,0,153905,3.464
12,2,14,5,3,5,4,5,0,329,1043,0,34490,3.453
11,2,34,4,2,4,5,2,0,414,1223,0,88857,4.188
2,5,24,4,1,10,1,3,0,384,1086,0,231631,3.875
16,5,36,3,0,9,4,9,0,392,1039,0,234533,3.523
8,12,38,3,0,15,5,9,2,581,1145,0,198622,4.046
6,16,32,5,3,7,2,6,0,441,1205,0,1752008,4.268
15,12,46,3,1,16,4,10,2,593,1213,0,781397,4.068
7,2,48,2,0,16,5,8,1,381,1048,0,70131,4.068
10,14,10,2,1,16,5,3,1,395,1066,0,22050,4.023
8,14,14,5,4,3,3,2,1,515,1194,0,259516,3.392
4,5,44,2,1,5,4,4,1,538,1153,0,67317,3.392
8,14,39,2,0,13,5,9,2,565,1109,0,141436,3.99
7,10,36,3,0,10,2,9,0,403,1027,0,560629,3.763
10,12,20,3,1,9,5,10,0,423,1206,0,64368,4.258
6,6,22,4,2,6,5,3,0,405,1193,0,48794,4.23
8,13,32,4,2,4,3,3,0,387,1091,0,560153,3.483
13,9,28,5,0,15,2,12,1,434,1061,0,1079848,4.046
2,5,21,4,3,9,3,3,0,377,1072,0,31091,3.875
10,5,27,3,2,5,3,5,0,396,1158,0,156807,3.493
7,15,30,3,2,11,5,9,1,404,1071,0,157344,3.935
7,10,20,3,0,5,1,3,0,348,1001,0,605673,3.425
7,3,46,4,0,6,4,5,2,782,1211,0,185047,4.188
5,12,38,2,1,7,5,4,0,391,1125,0,78961,3.463
12,2,37,4,0,13,4,9,1,416,1094,0,133554,4.198
4,6,34,2,1,10,1,8,0,420,1105,0,441888,3.763
10,10,18,4,0,16,2,6,1,411,1010,0,280922,4.05
9,1,32,5,3,13,5,9,1,404,1106,0,60513,4.188
15,5,14,3,0,9,3,5,0,360,1035,0,41332,3.493
15,16,46,5,4,9,1,16,3,911,1444,0,46394795,4.458
15,14,8,2,1,3,2,2,0,341,978,0,78539,3.348
4,4,42,2,1,6,2,4,1,553,1209,0,135734,3.392
6,6,38,5,2,16,5,9,1,480,1274,0,172874,4.268
5,3,49,5,1,9,3,9,0,430,1201,0,278005,4.268
15,9,43,3,2,7,5,5,3,862,1359,0,478364,4.458
